Weather_ID,Date,Location,Temperature_C,Rainfall_mm,Relative_Humidity_pct,Wind_Speed_kmh
1,01-06-2025,Nellore,31.2,18.5,74,11.2
2,02-06-2025,Nellore,30.4,25.1,79,9.8
3,03-06-2025,Nellore,32,12,71,10.5
4,04-06-2025,Guntur,33.1,8.4,68,12.1
5,05-06-2025,Guntur,34,0,64,13
6,06-06-2025,Mysuru,28.4,22.3,81,8.2
7,07-06-2025,Mysuru,27.9,,84,7.6
8,08-06-2025,Warangal,35.2,15.6,62,14.4
9,09-06-2025,Warangal,36.1,21.8,59,15
10,10-06-2025,Thanjavur,30.8,30.2,77,10.1
11,11-06-2025,Nellore,31.5,19.4,76,10.8
12,12-06-2025,Guntur,33.4,14.7,66,11.7
13,13-06-2025,Mysuru,28.1,26.2,83,7.9
14,14-06-2025,Warangal,34.7,800,65,13.8
15,15-06-2025,Thanjavur,31,24.5,78,10.3
16,14-06-2025,Warangal,34.7,800,65,13.8
